City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,husavik,66.0449,-17.3389,-1.69,94,100,9.85,IS,1675204142
118,ischia,40.7342,13.9471,8.86,56,7,5.75,IT,1675204142
119,upernavik,72.7868,-56.1549,-18.05,94,100,6.83,GL,1675204143
120,grand gaube,-20.0064,57.6608,26.22,84,67,7.3,MU,1675204143
121,bud,39.447,-86.1758,-3.47,62,100,3.55,US,1675204144
122,provideniya,64.3833,-173.3,-5.94,100,100,2.0,RU,1675204144
123,harper,4.375,-7.7169,26.46,85,5,3.44,LR,1675203931
124,airai,-8.9266,125.4092,15.97,93,96,0.88,TL,1675204145
125,isangel,-19.55,169.2667,30.06,79,75,1.03,VU,1675204145
126,baykit,61.67,96.37,-19.82,100,100,0.21,RU,1675204145
127,chadiza,-14.0678,32.4392,18.33,98,100,1.26,ZM,1675204146
128,luwuk,-0.9516,122.7875,25.41,89,85,1.33,ID,1675204146
129,barrow,71.2906,-156.7887,-21.99,84,0,11.83,US,1675204147
130,viedma,-40.8135,-62.9967,19.49,52,13,7.1,AR,1675204147
131,vestmannaeyjar,63.4427,-20.2734,-0.43,67,100,7.76,IS,1675204147
